dataset,reference_locus,gene,annotation,strand,translation_start,n_motif_occurrences,minimum_mismatches,has_exact_motif,has_one_mismatch_motif,has_leq1_mismatch_motif,closest_motif_start_rel_CDS
background,MIDG2331_RS05820,recX,recombination regulator RecX,-,1293463,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05825,recA,recombinase RecA,-,1294664,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05830,,aminotransferase class IV family protein,-,1295383,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05835,,aminodeoxychorismate synthase component I,-,1296329,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05840,,DNA recombination protein RmuC,+,1296464,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05845,,anthranilate synthase component II,+,1298070,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05850,,DUF302 domain-containing protein,+,1298753,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05855,aspS,aspartate--tRNA ligase,+,1299374,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05860,nudB,dihydroneopterin triphosphate diphosphatase,+,1301183,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05865,,YebC/PmpR family DNA-binding transcriptional regulator,+,1301677,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05870,,hypothetical protein,+,1302551,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05875,ruvC,crossover junction endodeoxyribonuclease RuvC,+,1303159,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05880,,M16 family metallopeptidase,-,1305291,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05885,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,-,1307722,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05890,,DASS family sodium-coupled anion symporter,-,1309413,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05895,,LysR family transcriptional regulator,+,1309640,1,1,FALSE,TRUE,TRUE,-162
background,MIDG2331_RS05905,rluB,23S rRNA pseudouridine(2605) synthase RluB,-,1312949,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05910,,L-threonylcarbamoyladenylate synthase,-,1313638,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05920,,Dyp-type peroxidase,-,1315078,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05930,,aminodeoxychorismate/anthranilate synthase component II,+,1316801,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05940,,class I SAM-dependent methyltransferase,+,1318492,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05945,,prolipoprotein diacylglyceryl transferase,-,1320359,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05950,,YdcH family protein,+,1320555,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05955,rplI,50S ribosomal protein L9,-,1321308,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05960,rpsR,30S ribosomal protein S18,-,1321553,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05965,priB,primosomal replication protein N,-,1321902,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05970,rpsF,30S ribosomal protein S6,-,1322251,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05975,purD,phosphoribosylamine--glycine ligase,+,1322543,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05980,pnuC,nicotinamide riboside transporter PnuC,-,1324613,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05985,,YfgM family protein,-,1325364,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05990,hisS,histidine--tRNA ligase,-,1326651,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS05995,ispG,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,-,1327891,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06000,,RodZ domain-containing protein,-,1328869,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06005,,SulP family inorganic anion transporter,+,1329149,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06015,,Gfo/Idh/MocA family oxidoreductase,-,1333716,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06020,,monovalent cation:proton antiporter-2 (CPA2) family protein,+,1333964,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06025,,ATP-binding protein,+,1335967,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06030,,SIR2 family protein,+,1337272,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06035,,TIR domain-containing protein,+,1338675,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06040,,TIR domain-containing protein,+,1339186,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06045,,LysR family transcriptional regulator,-,1340945,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06050,,nuclear transport factor 2 family protein,+,1341069,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06055,,"IS256 family transposase, variant Zn-binding type",-,1342537,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06060,,AraC family transcriptional regulator,+,1342634,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06065,,LysR family transcriptional regulator,-,1344434,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06070,,NADH:flavin oxidoreductase/NADH oxidase,+,1344525,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06075,,LLM class flavin-dependent oxidoreductase,+,1345677,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06080,,NAD(P)-dependent oxidoreductase,-,1347675,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06085,,NAD(P)H-dependent oxidoreductase,+,1347954,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06090,,MarC family protein,+,1348770,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06095,,ACP phosphodiesterase,+,1349466,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06100,fghA,S-formylglutathione hydrolase,-,1350959,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06105,yghU,glutathione-dependent disulfide-bond oxidoreductase,-,1351768,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06110,,type II toxin-antitoxin system VapC family toxin,-,1352363,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06115,,type II toxin-antitoxin system Phd/YefM family antitoxin,-,1352630,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06120,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,-,1353898,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06125,,BCCT family transporter,-,1356079,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06130,,GNAT family N-acetyltransferase,+,1356376,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06135,,DUF72 domain-containing protein,+,1357080,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06140,tehA,dicarboxylate transporter/tellurite-resistance protein TehA,-,1358951,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06150,,flavin reductase family protein,-,1360498,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06155,,ABC transporter ATP-binding protein,-,1362429,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06160,luxS,S-ribosylhomocysteine lyase,-,1363044,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06165,,PqiB family protein,-,1365765,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06170,fur,ferric iron uptake transcriptional regulator,-,1366362,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06175,fldA,flavodoxin FldA,-,1366917,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06180,ybfE,LexA regulated protein,-,1367223,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06185,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,-,1367908,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06190,,oxidoreductase,+,1367993,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06195,,NCS2 family permease,+,1369055,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06200,,DsrE/DsrF/TusD sulfur relay family protein,+,1370460,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06205,,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase,+,1370810,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06210,infA,translation initiation factor IF-1,-,1372293,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06215,,YtjB family periplasmic protein,-,1373048,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06225,,YajQ family cyclic di-GMP-binding protein,+,1374060,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06230,,DUF5363 domain-containing protein,+,1374600,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06235,glgP,glycogen/starch/alpha-glucan family phosphorylase,+,1374905,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06240,malT,HTH-type transcriptional regulator MalT,-,1380099,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06245,malM,maltose operon protein MalM,-,1381098,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06250,,maltoporin,-,1382462,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06255,malK,maltose/maltodextrin ABC transporter ATP-binding protein MalK,-,1383671,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06260,malE,maltose/maltodextrin ABC transporter substrate-binding protein MalE,+,1384003,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06265,malF,maltose ABC transporter permease MalF,+,1385266,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06270,malG,maltose ABC transporter permease MalG,+,1386867,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06275,malQ,4-alpha-glucanotransferase,+,1387818,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06280,,carbon starvation CstA family protein,+,1390084,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06285,,TatD family hydrolase,+,1391744,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06290,gorA,glutathione-disulfide reductase,-,1393967,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06295,,TIGR00645 family protein,-,1394571,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06300,,nitroreductase family protein,-,1395311,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06305,,AzlD family protein,-,1395767,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06310,,AzlC family ABC transporter permease,-,1396471,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06315,,peptide ABC transporter ATP-binding protein,-,1397300,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06320,fbaA,class II fructose-bisphosphate aldolase,-,1398492,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06325,,phosphoglycerate kinase,-,1399769,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06330,,SLC13 family permease,-,1401315,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06335,sdcA,sodium/C4-dicarboxylate transporter SdcA,-,1402821,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06340,,DASS family sodium-coupled anion symporter,-,1404517,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06345,parE,DNA topoisomerase IV subunit B,-,1406625,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06350,phoR,phosphate regulon sensor histidine kinase PhoR,-,1407996,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06355,phoB,phosphate regulon transcriptional regulator PhoB,-,1408637,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06365,pstA,phosphate ABC transporter permease PstA,-,1410348,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06370,pstC,phosphate ABC transporter permease subunit PstC,-,1411409,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06375,pstS,phosphate ABC transporter substrate-binding protein PstS,-,1412601,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06380,cueR,Cu(I)-responsive transcriptional regulator,-,1413109,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06385,,DUF411 domain-containing protein,+,1413195,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06390,,heavy-metal-associated domain-containing protein,+,1413665,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06395,,heavy metal translocating P-type ATPase,+,1414104,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06400,,SDR family NAD(P)-dependent oxidoreductase,-,1417183,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06405,,NAD(P)H nitroreductase,-,1417786,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06410,sppA,signal peptide peptidase SppA,+,1417889,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06415,,ribonuclease T2 family protein,+,1419880,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06425,,NAD(P)/FAD-dependent oxidoreductase,+,1421274,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06430,,Tex family protein,-,1425079,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06435,pilW,type IV pilus biogenesis/stability protein PilW,-,1425702,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06440,rlmN,dual-specificity RNA methyltransferase RlmN,-,1426937,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06465,gltX,glutamate--tRNA ligase,+,1427842,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06475,,tyrosine-type recombinase/integrase,+,1429586,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06480,,hypothetical protein,+,1431563,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06485,,helix-turn-helix transcriptional regulator,+,1432616,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06490,,hypothetical protein,+,1432867,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06500,,antA/AntB antirepressor family protein,+,1433535,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06505,,terminase small subunit,+,1434265,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06510,,YlcI/YnfO family protein,-,1435130,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06515,,ash family protein,+,1435353,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06520,,hypothetical protein,+,1436008,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06525,,hypothetical protein,+,1436342,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06530,,hypothetical protein,+,1436538,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06535,,DUF927 domain-containing protein,+,1436740,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06540,yefM,YoeB-YefM toxin-antitoxin system antitoxin YefM,+,1440179,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06545,,Txe/YoeB family addiction module toxin,+,1440427,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06550,,Trm112 family protein,-,1441013,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06555,lpxK,tetraacyldisaccharide 4'-kinase,-,1441995,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06560,clpX,ATP-dependent protease ATP-binding subunit ClpX,-,1443347,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06565,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,-,1443937,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06570,,SufE family protein,+,1444059,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06585,dnaQ,DNA polymerase III subunit epsilon,-,1445583,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06590,ettA,energy-dependent translational throttle protein EttA,-,1447340,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06595,,carboxymuconolactone decarboxylase family protein,+,1447505,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06600,,rhodanese-like domain-containing protein,+,1447836,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06605,,hypothetical protein,+,1448313,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06610,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,-,1449965,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06615,,BolA family protein,-,1450357,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06620,,STAS domain-containing protein,-,1450723,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06625,mlaC,phospholipid-binding protein MlaC,-,1451371,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06630,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,-,1451976,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06635,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,-,1452825,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06640,mlaF,phospholipid ABC transporter ATP-binding protein MlaF,-,1453567,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06645,,DegQ family serine endoprotease,+,1453828,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06650,,TIGR01777 family oxidoreductase,-,1456146,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06655,argR,transcriptional regulator ArgR,-,1456607,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06660,mdh,malate dehydrogenase,+,1456801,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06665,,hypothetical protein,+,1457844,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06670,adk,adenylate kinase,-,1458825,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06675,,TonB-dependent receptor domain-containing protein,-,1461100,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06680,,AmpG family muropeptide MFS transporter,-,1462557,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06685,galE,UDP-glucose 4-epimerase GalE,-,1463712,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06690,ligA,NAD-dependent DNA ligase LigA,-,1465824,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06695,zipA,cell division protein ZipA,-,1466898,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06700,cysZ,sulfate transporter CysZ,+,1467018,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06705,,hypothetical protein,-,1468285,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06710,gnd,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase,-,1469831,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06715,,hypothetical protein,-,1470493,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06720,,aspartate/glutamate racemase family protein,-,1471368,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06725,,MFS transporter,-,1472790,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06730,pgl,6-phosphogluconolactonase,-,1473621,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06735,zwf,glucose-6-phosphate dehydrogenase,-,1475195,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06740,cysQ,"3'(2'),5'-bisphosphate nucleotidase CysQ",-,1476082,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06745,nudE,ADP compounds hydrolase NudE,-,1476652,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06750,hslR,ribosome-associated heat shock protein Hsp15,+,1476795,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06755,hslO,Hsp33 family molecular chaperone HslO,+,1477330,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06760,,anaerobic C4-dicarboxylate transporter,-,1479622,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06770,,ornithine carbamoyltransferase,+,1480475,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06775,arcC,carbamate kinase,+,1481501,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06785,thiQ,thiamine ABC transporter ATP-binding protein,-,1484952,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06790,thiP,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,-,1486574,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06795,ptsH,phosphocarrier protein Hpr,+,1486811,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06800,ptsI,phosphoenolpyruvate-protein phosphotransferase PtsI,+,1487192,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06805,crr,PTS glucose transporter subunit IIA,+,1488998,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06810,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,+,1489683,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06815,uvrD,DNA helicase II,+,1491312,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06820,hypB,hydrogenase nickel incorporation protein HypB,+,1493714,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06825,hypD,hydrogenase formation protein HypD,+,1494535,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06830,hypE,hydrogenase expression/formation protein HypE,+,1495652,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06835,,HlyD family type I secretion periplasmic adaptor subunit,-,1498438,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06840,,type I secretion system permease/ATPase,-,1500585,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06850,apxIIIC,RTX-III toxin-activating lysine-acyltransferase ApxIIC,-,1504325,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06855,hypF,carbamoyltransferase HypF,-,1507070,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06860,hybO,hydrogenase 2 small subunit,+,1507305,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06865,hybA,hydrogenase 2 operon protein HybA,+,1508440,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06870,hybB,Ni/Fe-hydrogenase cytochrome b subunit,+,1509470,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06875,hybC,hydrogenase 2 large subunit,+,1510648,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06880,,HyaD/HybD family hydrogenase maturation endopeptidase,+,1512357,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06885,hybE,hydrogenase-2 assembly chaperone,+,1512847,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06890,hybG,hydrogenase maturation factor HybG,+,1513378,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06895,hypA,hydrogenase maturation nickel metallochaperone HypA,-,1514092,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06905,,tyrosine-type recombinase/integrase,-,1515434,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06910,mobH,MobH family relaxase,-,1517382,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06915,,phosphoribosyltransferase,+,1517620,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06920,,helix-turn-helix domain-containing protein,-,1519320,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06925,,hypothetical protein,-,1519914,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06930,,hypothetical protein,+,1520161,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06935,,recombinase family protein,+,1520367,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06940,,hypothetical protein,+,1521040,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06945,,N-6 DNA methylase,-,1522321,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06950,,ArdC family protein,-,1523378,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06955,,hypothetical protein,-,1523919,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06960,,hypothetical protein,-,1524155,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06965,,hypothetical protein,-,1524596,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06970,,TIGR03757 family integrating conjugative element protein,+,1524977,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06975,,TIGR03756 family integrating conjugative element protein,+,1525411,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06980,,integrating conjugative element protein,+,1526367,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06985,,hypothetical protein,+,1528383,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06990,,hypothetical protein,-,1529014,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS06995,,hypothetical protein,+,1529211,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07000,,conjugal transfer protein TraG N-terminal domain-containing protein,-,1531090,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07005,,hypothetical protein,-,1531422,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07010,,hypothetical protein,-,1531875,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07015,,conjugative transfer ATPase,-,1534717,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07020,,TIGR03751 family conjugal transfer lipoprotein,-,1535140,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07025,,TIGR03752 family integrating conjugative element protein,-,1536550,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07030,,TIGR03749 family integrating conjugative element protein,-,1537430,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07035,,PFL_4703 family integrating conjugative element protein,-,1538074,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07040,,TIGR03750 family conjugal transfer protein,-,1538457,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07045,,DUF2976 domain-containing protein,-,1538878,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07050,,DUF3262 family protein,-,1539143,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07055,,"integrative conjugative element protein, RAQPRD family",-,1539467,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07060,,TIGR03747 family integrating conjugative element membrane protein,-,1540314,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07065,,hypothetical protein,-,1540649,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07070,traD,type IV conjugative transfer system coupling protein TraD,-,1542882,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07075,,integrating conjugative element protein,-,1543385,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07080,,transglycosylase SLT domain-containing protein,-,1544159,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07085,,TIGR03759 family integrating conjugative element protein,-,1544878,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07090,pilL2,PFGI-1 class ICE element type IV pilus protein PilL2,-,1545511,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07095,,TraX family protein,-,1546341,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07100,,hypothetical protein,-,1546635,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07105,,IS4-like element ISVsa5 family transposase,+,1546833,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07110,,helix-turn-helix domain-containing protein,-,1548467,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07115,tetC,tetracyline resistance-associated transcriptional repressor TetC,+,1548555,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07120,tet(B),tetracycline efflux MFS transporter Tet(B),-,1550466,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07125,tetR(B),tetracycline resistance transcriptional repressor TetR(B),+,1550548,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07130,,ArsR/SmtB family transcription factor,-,1551771,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07135,,hypothetical protein,-,1552228,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS07140,,antibiotic biosynthesis monooxygenase family protein,-,1552541,0,,FALSE,FALSE,FALSE,
