reference_locus,gene,annotation
MIDG2331_RS04695,,IscS subfamily cysteine desulfurase
MIDG2331_RS04700,,Rrf2 family transcriptional regulator
MIDG2331_RS04705,,outer membrane protein transport protein
MIDG2331_RS04710,,methylated-DNA--[protein]-cysteine S-methyltransferase
MIDG2331_RS04715,,ATP-binding protein
MIDG2331_RS04720,,membrane protein
MIDG2331_RS04725,smrB,endonuclease SmrB
MIDG2331_RS04730,bioD,dethiobiotin synthase
MIDG2331_RS04735,bioC,malonyl-ACP O-methyltransferase BioC
MIDG2331_RS04740,,DUF452 family protein
MIDG2331_RS04745,,8-amino-7-oxononanoate synthase
MIDG2331_RS04750,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase
MIDG2331_RS04755,prmB,50S ribosomal protein L3 N(5)-glutamine methyltransferase
MIDG2331_RS04760,greA,transcription elongation factor GreA
MIDG2331_RS04765,dacB,serine-type D-Ala-D-Ala carboxypeptidase
MIDG2331_RS04770,,GNAT family N-acetyltransferase
MIDG2331_RS04775,,IS1595 family transposase
MIDG2331_RS04780,,hypothetical protein
MIDG2331_RS04785,,IS481 family transposase
MIDG2331_RS04790,,FRG domain-containing protein
MIDG2331_RS04795,,ImmA/IrrE family metallo-endopeptidase
MIDG2331_RS04800,,helix-turn-helix domain-containing protein
MIDG2331_RS04805,,IS1595 family transposase
MIDG2331_RS04810,,hypothetical protein
MIDG2331_RS04815,,hypothetical protein
MIDG2331_RS04820,,cysteine peptidase family C39 domain-containing protein
MIDG2331_RS04825,,RTX family hemolysin
MIDG2331_RS04830,apxIIC,RTX-II toxin-activating lysine-acyltransferase ApxIIC
MIDG2331_RS04845,ybeY,rRNA maturation RNase YbeY
MIDG2331_RS04850,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
MIDG2331_RS04855,,hypothetical protein
MIDG2331_RS04860,,hypothetical protein
MIDG2331_RS04865,,hypothetical protein
MIDG2331_RS04875,,hypothetical protein
MIDG2331_RS04890,,ShlB/FhaC/HecB family hemolysin secretion/activation protein
MIDG2331_RS04895,lptD,LPS assembly protein LptD
MIDG2331_RS04900,hemN,oxygen-independent coproporphyrinogen III oxidase
MIDG2331_RS04905,,DUF2489 domain-containing protein
MIDG2331_RS04910,yihI,Der GTPase-activating protein YihI
MIDG2331_RS04915,,putative transporter
MIDG2331_RS04920,gltS,sodium/glutamate symporter
MIDG2331_RS04925,,YacL family protein
MIDG2331_RS04930,glnE,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
MIDG2331_RS04935,,YciI family protein
MIDG2331_RS04940,yciA,acyl-CoA thioester hydrolase YciA
MIDG2331_RS04945,,septation protein A
MIDG2331_RS04950,,hypothetical protein
MIDG2331_RS04955,yfbV,terminus macrodomain insulation protein YfbV
MIDG2331_RS04960,ttcA,tRNA 2-thiocytidine(32) synthetase TtcA
MIDG2331_RS04965,,Na+/H+ antiporter family protein
MIDG2331_RS04970,xthA,exodeoxyribonuclease III
MIDG2331_RS04975,ilvY,HTH-type transcriptional activator IlvY
MIDG2331_RS04980,,glycosyltransferase family 9 protein
MIDG2331_RS04985,,glycosyltransferase family 25 protein
MIDG2331_RS04990,,heptosyltransferase
MIDG2331_RS04995,rpmE,50S ribosomal protein L31
MIDG2331_RS05000,tkt,transketolase
MIDG2331_RS05005,htpG,molecular chaperone HtpG
MIDG2331_RS05010,,catalase
MIDG2331_RS05020,,IS3 family transposase
MIDG2331_RS05025,,metallophosphoesterase
MIDG2331_RS05030,nrdA,class 1a ribonucleoside-diphosphate reductase subunit alpha
MIDG2331_RS05035,nrdB,class Ia ribonucleoside-diphosphate reductase subunit beta
MIDG2331_RS05040,galT,galactose-1-phosphate uridylyltransferase
MIDG2331_RS05045,galK,galactokinase
MIDG2331_RS05050,,galactose-1-epimerase
MIDG2331_RS05055,,glycoside hydrolase family 2 TIM barrel-domain containing protein
MIDG2331_RS05065,,hypothetical protein
MIDG2331_RS05070,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS05075,,calcium-binding protein
MIDG2331_RS05080,,hypothetical protein
MIDG2331_RS05085,apbC,iron-sulfur cluster carrier protein ApbC
MIDG2331_RS05090,,peptide ABC transporter substrate-binding protein
MIDG2331_RS05095,,YchE family NAAT transporter
MIDG2331_RS05100,,SurA N-terminal domain-containing protein
MIDG2331_RS05105,,cation:proton antiporter
MIDG2331_RS05110,rpsO,30S ribosomal protein S15
MIDG2331_RS05115,,DUF808 domain-containing protein
MIDG2331_RS05120,,heme biosynthesis protein HemY
MIDG2331_RS05125,,uroporphyrinogen-III C-methyltransferase
MIDG2331_RS05130,,uroporphyrinogen-III synthase
MIDG2331_RS05135,hemC,hydroxymethylbilane synthase
MIDG2331_RS05140,adhE,bifunctional acetaldehyde-CoA/alcohol dehydrogenase
MIDG2331_RS05145,groL,chaperonin GroEL
MIDG2331_RS05150,,co-chaperone GroES
MIDG2331_RS05155,deoD,purine-nucleoside phosphorylase
MIDG2331_RS05160,deoC,deoxyribose-phosphate aldolase
MIDG2331_RS05165,,NupC/NupG family nucleoside CNT transporter
MIDG2331_RS05170,yczE,membrane protein YczE
MIDG2331_RS05175,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
MIDG2331_RS05180,,sugar kinase
MIDG2331_RS05185,,glucuronate isomerase
MIDG2331_RS05190,,glycoside hydrolase family 31 protein
MIDG2331_RS05195,,GntR family transcriptional regulator
MIDG2331_RS05200,,DMT family transporter
MIDG2331_RS05205,msrA,peptide-methionine (S)-S-oxide reductase MsrA
MIDG2331_RS05210,,glycosyltransferase family 2 protein
MIDG2331_RS05215,,glycosyltransferase family 2 protein
MIDG2331_RS05220,,hypothetical protein
MIDG2331_RS05225,,glycosyltransferase family 25 protein
MIDG2331_RS05230,,lipopolysaccharide biosynthesis protein
MIDG2331_RS05235,,polysaccharide pyruvyl transferase family protein
MIDG2331_RS05240,,YdcF family protein
MIDG2331_RS05245,priA,primosomal protein N'
MIDG2331_RS05250,,chorismate mutase
MIDG2331_RS05255,prlC,oligopeptidase A
MIDG2331_RS05260,pflA,pyruvate formate lyase 1-activating protein
MIDG2331_RS05265,pflB,formate C-acetyltransferase
MIDG2331_RS05270,focA,formate transporter FocA
MIDG2331_RS05275,,YqaA family protein
MIDG2331_RS05280,htpX,protease HtpX
MIDG2331_RS05285,dinB,DNA polymerase IV
MIDG2331_RS05290,,LysO family transporter
MIDG2331_RS05295,,isochorismate synthase
MIDG2331_RS05300,,pyridoxal phosphate-dependent aminotransferase
MIDG2331_RS05305,rarD,EamA family transporter RarD
MIDG2331_RS05310,rarD,EamA family transporter RarD
MIDG2331_RS05315,,LysE family translocator
MIDG2331_RS05320,,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor
MIDG2331_RS05325,hutZ,heme utilization protein HutZ
MIDG2331_RS05330,,TPR domain-containing protein
MIDG2331_RS05335,nrfF,heme lyase NrfEFG subunit NrfF
MIDG2331_RS05340,,redoxin family protein
MIDG2331_RS05345,nrfE,heme lyase NrfEFG subunit NrfE
MIDG2331_RS05350,,monovalent cation:proton antiporter-2 (CPA2) family protein
MIDG2331_RS05355,,class I adenylate cyclase
MIDG2331_RS05360,fabB,beta-ketoacyl-ACP synthase I
MIDG2331_RS05375,,YgiW/YdeI family stress tolerance OB fold protein
MIDG2331_RS05380,,NirD/YgiW/YdeI family stress tolerance protein
MIDG2331_RS05385,,YgiW/YdeI family stress tolerance OB fold protein
MIDG2331_RS05390,,response regulator
MIDG2331_RS05395,,ATP-binding protein
MIDG2331_RS05400,,YtfJ family protein
MIDG2331_RS05405,yajC,preprotein translocase subunit YajC
MIDG2331_RS05410,secD,protein translocase subunit SecD
MIDG2331_RS05415,secF,protein translocase subunit SecF
MIDG2331_RS05420,ftnA,non-heme ferritin
MIDG2331_RS05425,ftnA,non-heme ferritin
MIDG2331_RS05430,,NCS2 family permease
MIDG2331_RS05435,,Maf family protein
MIDG2331_RS05440,,carboxymuconolactone decarboxylase family protein
MIDG2331_RS05445,thiI,tRNA uracil 4-sulfurtransferase ThiI
MIDG2331_RS05450,purA,adenylosuccinate synthase
MIDG2331_RS05455,hflC,protease modulator HflC
MIDG2331_RS05460,hflK,FtsH protease activity modulator HflK
MIDG2331_RS05465,trxA,thioredoxin
MIDG2331_RS05470,,nucleobase:cation symporter-2 family protein
MIDG2331_RS05475,metK,methionine adenosyltransferase
MIDG2331_RS05480,,homocysteine S-methyltransferase family protein
MIDG2331_RS05485,,basic amino acid/polyamine antiporter
MIDG2331_RS05490,,basic amino acid/polyamine antiporter
MIDG2331_RS05495,,hypothetical protein
MIDG2331_RS05500,argE,acetylornithine deacetylase
MIDG2331_RS05505,,OmpW/AlkL family protein
MIDG2331_RS05510,clpB,ATP-dependent chaperone ClpB
MIDG2331_RS05515,arsB,ACR3 family arsenite efflux transporter
MIDG2331_RS05520,arsC,arsenate reductase (glutaredoxin)
MIDG2331_RS05525,,ArsR/SmtB family transcription factor
MIDG2331_RS05530,aspA,aspartate ammonia-lyase
MIDG2331_RS05535,,DUF1294 domain-containing protein
MIDG2331_RS05540,purM,phosphoribosylformylglycinamidine cyclo-ligase
MIDG2331_RS05545,,family 20 glycosylhydrolase
MIDG2331_RS05550,queC,7-cyano-7-deazaguanine synthase QueC
MIDG2331_RS05555,queD,6-carboxytetrahydropterin synthase QueD
MIDG2331_RS05560,,7-carboxy-7-deazaguanine synthase QueE
MIDG2331_RS05565,,hypothetical protein
MIDG2331_RS05570,,hypothetical protein
MIDG2331_RS05575,pepA,leucyl aminopeptidase
MIDG2331_RS05580,,hypothetical protein
MIDG2331_RS05585,lptF,LPS export ABC transporter permease LptF
MIDG2331_RS05590,lptG,LPS export ABC transporter permease LptG
MIDG2331_RS05595,dnaE,DNA polymerase III subunit alpha
MIDG2331_RS05600,,ATP-grasp domain-containing protein
MIDG2331_RS05610,,hypothetical protein
MIDG2331_RS05615,purT,formate-dependent phosphoribosylglycinamide formyltransferase
MIDG2331_RS05620,plsB,glycerol-3-phosphate 1-O-acyltransferase PlsB
MIDG2331_RS05625,lexA,transcriptional repressor LexA
MIDG2331_RS05630,mutH,DNA mismatch repair endonuclease MutH
MIDG2331_RS05635,,TerC family protein
MIDG2331_RS05640,nagZ,beta-N-acetylhexosaminidase
MIDG2331_RS05645,rlmC,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
MIDG2331_RS05650,eno,phosphopyruvate hydratase
MIDG2331_RS05655,,NUDIX hydrolase N-terminal domain-containing protein
MIDG2331_RS05660,,DUF2251 domain-containing protein
MIDG2331_RS05665,recQ,ATP-dependent DNA helicase RecQ
MIDG2331_RS05670,cyaY,iron donor protein CyaY
MIDG2331_RS05685,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
MIDG2331_RS05690,,outer membrane protein assembly factor BamD
MIDG2331_RS05695,rluD,23S rRNA pseudouridine(1911/1915/1917) synthase RluD
MIDG2331_RS05700,,YwiC-like family protein
MIDG2331_RS05705,pfkA,6-phosphofructokinase
MIDG2331_RS05710,,aminotransferase class V-fold PLP-dependent enzyme
MIDG2331_RS05715,,thermonuclease family protein
MIDG2331_RS05720,,alanine/glycine:cation symporter family protein
MIDG2331_RS05725,,AI-2E family transporter
MIDG2331_RS05730,,cytochrome b562
MIDG2331_RS05735,trhP,prephenate-dependent tRNA uridine(34) hydroxylase TrhP
MIDG2331_RS05740,,O-antigen ligase family protein
MIDG2331_RS05745,waaA,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
MIDG2331_RS05750,coaD,pantetheine-phosphate adenylyltransferase
MIDG2331_RS05755,orn,oligoribonuclease
MIDG2331_RS05760,tsaE,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
MIDG2331_RS05765,,N-acetylmuramoyl-L-alanine amidase family protein
MIDG2331_RS05770,pgi,glucose-6-phosphate isomerase
MIDG2331_RS05775,ubiK,ubiquinone biosynthesis accessory factor UbiK
MIDG2331_RS05800,aroE,shikimate dehydrogenase
MIDG2331_RS05805,tsaC,L-threonylcarbamoyladenylate synthase type 1 TsaC
MIDG2331_RS05810,,DNA topoisomerase family protein
MIDG2331_RS05815,yqfB,N(4)-acetylcytidine aminohydrolase
MIDG2331_RS05820,recX,recombination regulator RecX
MIDG2331_RS05825,recA,recombinase RecA
MIDG2331_RS05830,,aminotransferase class IV family protein
MIDG2331_RS05835,,aminodeoxychorismate synthase component I
MIDG2331_RS05840,,DNA recombination protein RmuC
MIDG2331_RS05845,,anthranilate synthase component II
MIDG2331_RS05850,,DUF302 domain-containing protein
MIDG2331_RS05855,aspS,aspartate--tRNA ligase
MIDG2331_RS05860,nudB,dihydroneopterin triphosphate diphosphatase
MIDG2331_RS05865,,YebC/PmpR family DNA-binding transcriptional regulator
MIDG2331_RS05870,,hypothetical protein
MIDG2331_RS05875,ruvC,crossover junction endodeoxyribonuclease RuvC
MIDG2331_RS05880,,M16 family metallopeptidase
MIDG2331_RS05885,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
MIDG2331_RS05890,,DASS family sodium-coupled anion symporter
MIDG2331_RS05895,,LysR family transcriptional regulator
MIDG2331_RS05905,rluB,23S rRNA pseudouridine(2605) synthase RluB
MIDG2331_RS05910,,L-threonylcarbamoyladenylate synthase
MIDG2331_RS05920,,Dyp-type peroxidase
MIDG2331_RS05925,,anthranilate synthase component 1
MIDG2331_RS05930,,aminodeoxychorismate/anthranilate synthase component II
MIDG2331_RS05935,trpD,anthranilate phosphoribosyltransferase
MIDG2331_RS05940,,class I SAM-dependent methyltransferase
MIDG2331_RS05945,,prolipoprotein diacylglyceryl transferase
MIDG2331_RS05950,,YdcH family protein
MIDG2331_RS05955,rplI,50S ribosomal protein L9
MIDG2331_RS05960,rpsR,30S ribosomal protein S18
MIDG2331_RS05965,priB,primosomal replication protein N
MIDG2331_RS05970,rpsF,30S ribosomal protein S6
MIDG2331_RS05975,purD,phosphoribosylamine--glycine ligase
MIDG2331_RS05980,pnuC,nicotinamide riboside transporter PnuC
MIDG2331_RS05985,,YfgM family protein
MIDG2331_RS05990,hisS,histidine--tRNA ligase
MIDG2331_RS05995,ispG,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
MIDG2331_RS06000,,RodZ domain-containing protein
MIDG2331_RS06005,,SulP family inorganic anion transporter
MIDG2331_RS06010,argH,argininosuccinate lyase
MIDG2331_RS06015,,Gfo/Idh/MocA family oxidoreductase
MIDG2331_RS06020,,monovalent cation:proton antiporter-2 (CPA2) family protein
MIDG2331_RS06025,,ATP-binding protein
MIDG2331_RS06030,,SIR2 family protein
MIDG2331_RS06035,,TIR domain-containing protein
MIDG2331_RS06040,,TIR domain-containing protein
MIDG2331_RS06045,,LysR family transcriptional regulator
MIDG2331_RS06050,,nuclear transport factor 2 family protein
MIDG2331_RS06055,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS06060,,AraC family transcriptional regulator
MIDG2331_RS06065,,LysR family transcriptional regulator
MIDG2331_RS06070,,NADH:flavin oxidoreductase/NADH oxidase
MIDG2331_RS06075,,LLM class flavin-dependent oxidoreductase
MIDG2331_RS06080,,NAD(P)-dependent oxidoreductase
MIDG2331_RS06085,,NAD(P)H-dependent oxidoreductase
MIDG2331_RS06090,,MarC family protein
MIDG2331_RS06095,,ACP phosphodiesterase
MIDG2331_RS06100,fghA,S-formylglutathione hydrolase
MIDG2331_RS06105,yghU,glutathione-dependent disulfide-bond oxidoreductase
MIDG2331_RS06110,,type II toxin-antitoxin system VapC family toxin
MIDG2331_RS06115,,type II toxin-antitoxin system Phd/YefM family antitoxin
MIDG2331_RS06120,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
MIDG2331_RS06125,,BCCT family transporter
MIDG2331_RS06130,,GNAT family N-acetyltransferase
MIDG2331_RS06135,,DUF72 domain-containing protein
MIDG2331_RS06140,tehA,dicarboxylate transporter/tellurite-resistance protein TehA
MIDG2331_RS06145,hxpB,hexitol phosphatase HxpB
MIDG2331_RS06150,,flavin reductase family protein
MIDG2331_RS06155,,ABC transporter ATP-binding protein
MIDG2331_RS06160,luxS,S-ribosylhomocysteine lyase
MIDG2331_RS06165,,PqiB family protein
MIDG2331_RS06170,fur,ferric iron uptake transcriptional regulator
MIDG2331_RS06175,fldA,flavodoxin FldA
MIDG2331_RS06180,ybfE,LexA regulated protein
MIDG2331_RS06185,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
MIDG2331_RS06190,,oxidoreductase
MIDG2331_RS06195,,NCS2 family permease
MIDG2331_RS06200,,DsrE/DsrF/TusD sulfur relay family protein
MIDG2331_RS06205,,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase
MIDG2331_RS06210,infA,translation initiation factor IF-1
MIDG2331_RS06215,,YtjB family periplasmic protein
MIDG2331_RS06220,serB,phosphoserine phosphatase SerB
MIDG2331_RS06225,,YajQ family cyclic di-GMP-binding protein
MIDG2331_RS06230,,DUF5363 domain-containing protein
MIDG2331_RS06235,glgP,glycogen/starch/alpha-glucan family phosphorylase
MIDG2331_RS06240,malT,HTH-type transcriptional regulator MalT
MIDG2331_RS06245,malM,maltose operon protein MalM
MIDG2331_RS06250,,maltoporin
MIDG2331_RS06255,malK,maltose/maltodextrin ABC transporter ATP-binding protein MalK
MIDG2331_RS06260,malE,maltose/maltodextrin ABC transporter substrate-binding protein MalE
MIDG2331_RS06265,malF,maltose ABC transporter permease MalF
MIDG2331_RS06270,malG,maltose ABC transporter permease MalG
MIDG2331_RS06275,malQ,4-alpha-glucanotransferase
MIDG2331_RS06280,,carbon starvation CstA family protein
MIDG2331_RS06285,,TatD family hydrolase
MIDG2331_RS06290,gorA,glutathione-disulfide reductase
MIDG2331_RS06295,,TIGR00645 family protein
MIDG2331_RS06300,,nitroreductase family protein
MIDG2331_RS06305,,AzlD family protein
MIDG2331_RS06310,,AzlC family ABC transporter permease
MIDG2331_RS06315,,peptide ABC transporter ATP-binding protein
MIDG2331_RS06320,fbaA,class II fructose-bisphosphate aldolase
MIDG2331_RS06325,,phosphoglycerate kinase
MIDG2331_RS06330,,SLC13 family permease
MIDG2331_RS06335,sdcA,sodium/C4-dicarboxylate transporter SdcA
MIDG2331_RS06340,,DASS family sodium-coupled anion symporter
MIDG2331_RS06345,parE,DNA topoisomerase IV subunit B
MIDG2331_RS06350,phoR,phosphate regulon sensor histidine kinase PhoR
MIDG2331_RS06355,phoB,phosphate regulon transcriptional regulator PhoB
MIDG2331_RS06360,pstB,phosphate ABC transporter ATP-binding protein PstB
MIDG2331_RS06365,pstA,phosphate ABC transporter permease PstA
MIDG2331_RS06370,pstC,phosphate ABC transporter permease subunit PstC
MIDG2331_RS06375,pstS,phosphate ABC transporter substrate-binding protein PstS
MIDG2331_RS06380,cueR,Cu(I)-responsive transcriptional regulator
MIDG2331_RS06385,,DUF411 domain-containing protein
MIDG2331_RS06390,,heavy-metal-associated domain-containing protein
MIDG2331_RS06395,,heavy metal translocating P-type ATPase
MIDG2331_RS06400,,SDR family NAD(P)-dependent oxidoreductase
MIDG2331_RS06405,,NAD(P)H nitroreductase
MIDG2331_RS06410,sppA,signal peptide peptidase SppA
MIDG2331_RS06415,,ribonuclease T2 family protein
MIDG2331_RS06420,,SprT family zinc-dependent metalloprotease
MIDG2331_RS06425,,NAD(P)/FAD-dependent oxidoreductase
MIDG2331_RS06430,,Tex family protein
MIDG2331_RS06435,pilW,type IV pilus biogenesis/stability protein PilW
MIDG2331_RS06440,rlmN,dual-specificity RNA methyltransferase RlmN
MIDG2331_RS06465,gltX,glutamate--tRNA ligase
MIDG2331_RS06475,,tyrosine-type recombinase/integrase
MIDG2331_RS06480,,hypothetical protein
MIDG2331_RS06485,,helix-turn-helix transcriptional regulator
MIDG2331_RS06490,,hypothetical protein
MIDG2331_RS06500,,antA/AntB antirepressor family protein
MIDG2331_RS06505,,terminase small subunit
MIDG2331_RS06510,,YlcI/YnfO family protein
MIDG2331_RS06515,,ash family protein
MIDG2331_RS06520,,hypothetical protein
MIDG2331_RS06525,,hypothetical protein
MIDG2331_RS06530,,hypothetical protein
MIDG2331_RS06535,,DUF927 domain-containing protein
MIDG2331_RS06540,yefM,YoeB-YefM toxin-antitoxin system antitoxin YefM
MIDG2331_RS06545,,Txe/YoeB family addiction module toxin
MIDG2331_RS06550,,Trm112 family protein
MIDG2331_RS06555,lpxK,tetraacyldisaccharide 4'-kinase
MIDG2331_RS06560,clpX,ATP-dependent protease ATP-binding subunit ClpX
MIDG2331_RS06565,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP
MIDG2331_RS06570,,SufE family protein
MIDG2331_RS06585,dnaQ,DNA polymerase III subunit epsilon
MIDG2331_RS06590,ettA,energy-dependent translational throttle protein EttA
MIDG2331_RS06595,,carboxymuconolactone decarboxylase family protein
MIDG2331_RS06600,,rhodanese-like domain-containing protein
MIDG2331_RS06605,,hypothetical protein
MIDG2331_RS06610,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
MIDG2331_RS06615,,BolA family protein
MIDG2331_RS06620,,STAS domain-containing protein
MIDG2331_RS06625,mlaC,phospholipid-binding protein MlaC
MIDG2331_RS06630,mlaD,outer membrane lipid asymmetry maintenance protein MlaD
MIDG2331_RS06635,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE
MIDG2331_RS06640,mlaF,phospholipid ABC transporter ATP-binding protein MlaF
MIDG2331_RS06645,,DegQ family serine endoprotease
MIDG2331_RS06650,,TIGR01777 family oxidoreductase
MIDG2331_RS06655,argR,transcriptional regulator ArgR
MIDG2331_RS06660,mdh,malate dehydrogenase
MIDG2331_RS06665,,hypothetical protein
MIDG2331_RS06670,adk,adenylate kinase
MIDG2331_RS06675,,TonB-dependent receptor domain-containing protein
MIDG2331_RS06680,,AmpG family muropeptide MFS transporter
MIDG2331_RS06685,galE,UDP-glucose 4-epimerase GalE
MIDG2331_RS06690,ligA,NAD-dependent DNA ligase LigA
MIDG2331_RS06695,zipA,cell division protein ZipA
MIDG2331_RS06700,cysZ,sulfate transporter CysZ
MIDG2331_RS06705,,hypothetical protein
MIDG2331_RS06710,gnd,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase
MIDG2331_RS06715,,hypothetical protein
MIDG2331_RS06720,,aspartate/glutamate racemase family protein
MIDG2331_RS06725,,MFS transporter
MIDG2331_RS06730,pgl,6-phosphogluconolactonase
MIDG2331_RS06735,zwf,glucose-6-phosphate dehydrogenase
MIDG2331_RS06740,cysQ,"3'(2'),5'-bisphosphate nucleotidase CysQ"
MIDG2331_RS06745,nudE,ADP compounds hydrolase NudE
MIDG2331_RS06750,hslR,ribosome-associated heat shock protein Hsp15
MIDG2331_RS06755,hslO,Hsp33 family molecular chaperone HslO
MIDG2331_RS06760,,anaerobic C4-dicarboxylate transporter
MIDG2331_RS06770,,ornithine carbamoyltransferase
MIDG2331_RS06775,arcC,carbamate kinase
MIDG2331_RS06780,,sucrose-specific PTS transporter subunit IIBC
MIDG2331_RS06785,thiQ,thiamine ABC transporter ATP-binding protein
MIDG2331_RS06790,thiP,thiamine/thiamine pyrophosphate ABC transporter permease ThiP
MIDG2331_RS06795,ptsH,phosphocarrier protein Hpr
MIDG2331_RS06800,ptsI,phosphoenolpyruvate-protein phosphotransferase PtsI
MIDG2331_RS06805,crr,PTS glucose transporter subunit IIA
MIDG2331_RS06810,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
MIDG2331_RS06815,uvrD,DNA helicase II
MIDG2331_RS06820,hypB,hydrogenase nickel incorporation protein HypB
MIDG2331_RS06825,hypD,hydrogenase formation protein HypD
MIDG2331_RS06830,hypE,hydrogenase expression/formation protein HypE
MIDG2331_RS06835,,HlyD family type I secretion periplasmic adaptor subunit
MIDG2331_RS06840,,type I secretion system permease/ATPase
MIDG2331_RS06845,,RTX family hemolysin
MIDG2331_RS06850,apxIIIC,RTX-III toxin-activating lysine-acyltransferase ApxIIC
MIDG2331_RS06855,hypF,carbamoyltransferase HypF
MIDG2331_RS06860,hybO,hydrogenase 2 small subunit
MIDG2331_RS06865,hybA,hydrogenase 2 operon protein HybA
MIDG2331_RS06870,hybB,Ni/Fe-hydrogenase cytochrome b subunit
MIDG2331_RS06875,hybC,hydrogenase 2 large subunit
MIDG2331_RS06880,,HyaD/HybD family hydrogenase maturation endopeptidase
MIDG2331_RS06885,hybE,hydrogenase-2 assembly chaperone
MIDG2331_RS06890,hybG,hydrogenase maturation factor HybG
MIDG2331_RS06895,hypA,hydrogenase maturation nickel metallochaperone HypA
MIDG2331_RS06905,,tyrosine-type recombinase/integrase
MIDG2331_RS06910,mobH,MobH family relaxase
MIDG2331_RS06915,,phosphoribosyltransferase
MIDG2331_RS06920,,helix-turn-helix domain-containing protein
MIDG2331_RS06925,,hypothetical protein
MIDG2331_RS06930,,hypothetical protein
MIDG2331_RS06935,,recombinase family protein
MIDG2331_RS06940,,hypothetical protein
MIDG2331_RS06945,,N-6 DNA methylase
MIDG2331_RS06950,,ArdC family protein
MIDG2331_RS06955,,hypothetical protein
MIDG2331_RS06960,,hypothetical protein
MIDG2331_RS06965,,hypothetical protein
MIDG2331_RS06970,,TIGR03757 family integrating conjugative element protein
MIDG2331_RS06975,,TIGR03756 family integrating conjugative element protein
MIDG2331_RS06980,,integrating conjugative element protein
MIDG2331_RS06985,,hypothetical protein
MIDG2331_RS06990,,hypothetical protein
MIDG2331_RS06995,,hypothetical protein
MIDG2331_RS07000,,conjugal transfer protein TraG N-terminal domain-containing protein
MIDG2331_RS07005,,hypothetical protein
MIDG2331_RS07010,,hypothetical protein
MIDG2331_RS07015,,conjugative transfer ATPase
MIDG2331_RS07020,,TIGR03751 family conjugal transfer lipoprotein
MIDG2331_RS07025,,TIGR03752 family integrating conjugative element protein
MIDG2331_RS07030,,TIGR03749 family integrating conjugative element protein
MIDG2331_RS07035,,PFL_4703 family integrating conjugative element protein
MIDG2331_RS07040,,TIGR03750 family conjugal transfer protein
MIDG2331_RS07045,,DUF2976 domain-containing protein
MIDG2331_RS07050,,DUF3262 family protein
MIDG2331_RS07055,,"integrative conjugative element protein, RAQPRD family"
MIDG2331_RS07060,,TIGR03747 family integrating conjugative element membrane protein
MIDG2331_RS07065,,hypothetical protein
MIDG2331_RS07070,traD,type IV conjugative transfer system coupling protein TraD
MIDG2331_RS07075,,integrating conjugative element protein
MIDG2331_RS07080,,transglycosylase SLT domain-containing protein
MIDG2331_RS07085,,TIGR03759 family integrating conjugative element protein
MIDG2331_RS07090,pilL2,PFGI-1 class ICE element type IV pilus protein PilL2
MIDG2331_RS07095,,TraX family protein
MIDG2331_RS07100,,hypothetical protein
MIDG2331_RS07105,,IS4-like element ISVsa5 family transposase
MIDG2331_RS07110,,helix-turn-helix domain-containing protein
MIDG2331_RS07115,tetC,tetracyline resistance-associated transcriptional repressor TetC
MIDG2331_RS07120,tet(B),tetracycline efflux MFS transporter Tet(B)
MIDG2331_RS07125,tetR(B),tetracycline resistance transcriptional repressor TetR(B)
MIDG2331_RS07130,,ArsR/SmtB family transcription factor
MIDG2331_RS07135,,hypothetical protein
MIDG2331_RS07140,,antibiotic biosynthesis monooxygenase family protein
MIDG2331_RS07145,gltS,sodium/glutamate symporter
MIDG2331_RS07155,,IS4-like element ISVsa5 family transposase
MIDG2331_RS07160,,hypothetical protein
MIDG2331_RS07165,radC,RadC family protein
MIDG2331_RS07170,,DUF3560 domain-containing protein
MIDG2331_RS07175,,STY4534 family ICE replication protein
