reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS05765,MIDG2331_01177,,N-acetylmuramoyl-L-alanine amidase family protein,+,1286959,1288104
MIDG2331_RS05770,MIDG2331_01178,pgi,glucose-6-phosphate isomerase,-,1288183,1289823
MIDG2331_RS05775,MIDG2331_01179,ubiK,ubiquinone biosynthesis accessory factor UbiK,-,1289860,1290111
MIDG2331_RS05800,MIDG2331_01184,aroE,shikimate dehydrogenase,-,1290799,1291623
MIDG2331_RS05805,MIDG2331_01185,tsaC,L-threonylcarbamoyladenylate synthase type 1 TsaC,-,1291630,1292184
MIDG2331_RS05810,MIDG2331_01186,,DNA topoisomerase family protein,-,1292177,1292710
MIDG2331_RS05815,MIDG2331_01187,yqfB,N(4)-acetylcytidine aminohydrolase,-,1292707,1293015
MIDG2331_RS05820,MIDG2331_01188,recX,recombination regulator RecX,-,1293008,1293463
MIDG2331_RS05825,MIDG2331_01189,recA,recombinase RecA,-,1293534,1294664
MIDG2331_RS05830,MIDG2331_01190,,aminotransferase class IV family protein,-,1294778,1295383
MIDG2331_RS05835,MIDG2331_01191,,aminodeoxychorismate synthase component I,-,1295361,1296329
MIDG2331_RS05840,MIDG2331_01192,,DNA recombination protein RmuC,+,1296464,1298098
MIDG2331_RS05845,MIDG2331_01193,,anthranilate synthase component II,+,1298070,1298681
MIDG2331_RS05850,MIDG2331_01194,,DUF302 domain-containing protein,+,1298753,1299202
MIDG2331_RS05855,MIDG2331_01195,aspS,aspartate--tRNA ligase,+,1299374,1301149
MIDG2331_RS05860,MIDG2331_01196,nudB,dihydroneopterin triphosphate diphosphatase,+,1301183,1301653
MIDG2331_RS05865,MIDG2331_01197,,YebC/PmpR family DNA-binding transcriptional regulator,+,1301677,1302417
MIDG2331_RS05870,MIDG2331_01198,,hypothetical protein,+,1302551,1303075
MIDG2331_RS05875,MIDG2331_01199,ruvC,crossover junction endodeoxyribonuclease RuvC,+,1303159,1303737
MIDG2331_RS05880,MIDG2331_01200,,M16 family metallopeptidase,-,1303777,1305291
MIDG2331_RS05885,MIDG2331_01201,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,-,1305449,1307722
MIDG2331_RS05890,MIDG2331_01202,,DASS family sodium-coupled anion symporter,-,1307953,1309413
MIDG2331_RS05895,MIDG2331_01203,,LysR family transcriptional regulator,+,1309640,1310569
MIDG2331_RS05905,MIDG2331_01205,rluB,23S rRNA pseudouridine(2605) synthase RluB,-,1311900,1312949
MIDG2331_RS05910,MIDG2331_01206,,L-threonylcarbamoyladenylate synthase,-,1313021,1313638
MIDG2331_RS05920,MIDG2331_01209,,Dyp-type peroxidase,-,1314182,1315078
MIDG2331_RS05925,MIDG2331_01210,,anthranilate synthase component 1,+,1315237,1316787
MIDG2331_RS05930,MIDG2331_01211,,aminodeoxychorismate/anthranilate synthase component II,+,1316801,1317388
MIDG2331_RS05935,MIDG2331_01212,trpD,anthranilate phosphoribosyltransferase,+,1317445,1318449
MIDG2331_RS05940,MIDG2331_01213,,class I SAM-dependent methyltransferase,+,1318492,1319247
MIDG2331_RS05945,MIDG2331_01214,,prolipoprotein diacylglyceryl transferase,-,1319274,1320359
MIDG2331_RS05950,MIDG2331_01215,,YdcH family protein,+,1320555,1320770
MIDG2331_RS05955,MIDG2331_01216,rplI,50S ribosomal protein L9,-,1320859,1321308
MIDG2331_RS05960,MIDG2331_01217,rpsR,30S ribosomal protein S18,-,1321326,1321553
MIDG2331_RS05965,,priB,primosomal replication protein N,-,1321528,1321902
MIDG2331_RS05970,MIDG2331_01218,rpsF,30S ribosomal protein S6,-,1321877,1322251
MIDG2331_RS05975,MIDG2331_01219,purD,phosphoribosylamine--glycine ligase,+,1322543,1323829
MIDG2331_RS05980,MIDG2331_01220,pnuC,nicotinamide riboside transporter PnuC,-,1323921,1324613
MIDG2331_RS05985,MIDG2331_01221,,YfgM family protein,-,1324741,1325364
MIDG2331_RS05990,MIDG2331_01222,hisS,histidine--tRNA ligase,-,1325380,1326651
MIDG2331_RS05995,MIDG2331_01223,ispG,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,-,1326779,1327891
MIDG2331_RS06000,MIDG2331_01224,,RodZ domain-containing protein,-,1327901,1328869
MIDG2331_RS06005,MIDG2331_01225,,SulP family inorganic anion transporter,+,1329149,1330705
MIDG2331_RS06010,MIDG2331_01226,argH,argininosuccinate lyase,-,1331015,1332391
MIDG2331_RS06015,MIDG2331_01227,,Gfo/Idh/MocA family oxidoreductase,-,1332673,1333716
MIDG2331_RS06020,MIDG2331_01228,,monovalent cation:proton antiporter-2 (CPA2) family protein,+,1333964,1335772
MIDG2331_RS06025,MIDG2331_01229,,ATP-binding protein,+,1335967,1337175
MIDG2331_RS06030,MIDG2331_01230,,SIR2 family protein,+,1337272,1338672
MIDG2331_RS06035,MIDG2331_01232,,TIR domain-containing protein,+,1338675,1339172
MIDG2331_RS06040,MIDG2331_01233,,TIR domain-containing protein,+,1339186,1339830
MIDG2331_RS06045,MIDG2331_01234,,LysR family transcriptional regulator,-,1340052,1340945
MIDG2331_RS06050,MIDG2331_01235,,nuclear transport factor 2 family protein,+,1341069,1341521
MIDG2331_RS06055,MIDG2331_01236,,"IS256 family transposase, variant Zn-binding type",-,1341644,1342537
MIDG2331_RS06060,MIDG2331_01237,,AraC family transcriptional regulator,+,1342634,1343476
MIDG2331_RS06065,MIDG2331_01238,,LysR family transcriptional regulator,-,1343535,1344434
MIDG2331_RS06070,MIDG2331_01239,,NADH:flavin oxidoreductase/NADH oxidase,+,1344525,1345595
MIDG2331_RS06075,MIDG2331_01240,,LLM class flavin-dependent oxidoreductase,+,1345677,1346714
MIDG2331_RS06080,MIDG2331_01241,,NAD(P)-dependent oxidoreductase,-,1346773,1347675
MIDG2331_RS06085,MIDG2331_01242,,NAD(P)H-dependent oxidoreductase,+,1347954,1348616
MIDG2331_RS06090,MIDG2331_01243,,MarC family protein,+,1348770,1349387
MIDG2331_RS06095,MIDG2331_01244,,ACP phosphodiesterase,+,1349466,1350028
MIDG2331_RS06100,MIDG2331_01245,fghA,S-formylglutathione hydrolase,-,1350102,1350959
MIDG2331_RS06105,MIDG2331_01246,yghU,glutathione-dependent disulfide-bond oxidoreductase,-,1350974,1351768
MIDG2331_RS06110,MIDG2331_01247,,type II toxin-antitoxin system VapC family toxin,-,1351944,1352363
MIDG2331_RS06115,MIDG2331_01248,,type II toxin-antitoxin system Phd/YefM family antitoxin,-,1352373,1352630
MIDG2331_RS06120,MIDG2331_01249,,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,-,1352780,1353898
MIDG2331_RS06125,MIDG2331_01250,,BCCT family transporter,-,1354053,1356079
MIDG2331_RS06130,MIDG2331_01252,,GNAT family N-acetyltransferase,+,1356376,1357086
MIDG2331_RS06135,MIDG2331_01253,,DUF72 domain-containing protein,+,1357080,1357922
MIDG2331_RS06140,MIDG2331_01254,tehA,dicarboxylate transporter/tellurite-resistance protein TehA,-,1358001,1358951
MIDG2331_RS06145,MIDG2331_01255,hxpB,hexitol phosphatase HxpB,-,1359047,1359697
MIDG2331_RS06150,MIDG2331_01256,,flavin reductase family protein,-,1359935,1360498
MIDG2331_RS06155,MIDG2331_01257,,ABC transporter ATP-binding protein,-,1360585,1362429
MIDG2331_RS06160,MIDG2331_01258,luxS,S-ribosylhomocysteine lyase,-,1362535,1363044
MIDG2331_RS06165,MIDG2331_01259,,PqiB family protein,-,1363099,1365765
MIDG2331_RS06170,MIDG2331_01260,fur,ferric iron uptake transcriptional regulator,-,1365913,1366362
MIDG2331_RS06175,MIDG2331_01261,fldA,flavodoxin FldA,-,1366393,1366917
MIDG2331_RS06180,MIDG2331_01262,ybfE,LexA regulated protein,-,1366939,1367223
MIDG2331_RS06185,MIDG2331_01263,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,-,1367432,1367908
MIDG2331_RS06190,MIDG2331_01264,,oxidoreductase,+,1367993,1368994
MIDG2331_RS06195,MIDG2331_01265,,NCS2 family permease,+,1369055,1370350
MIDG2331_RS06200,MIDG2331_01266,,DsrE/DsrF/TusD sulfur relay family protein,+,1370460,1370810
MIDG2331_RS06205,MIDG2331_01267,,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase,+,1370810,1371997
MIDG2331_RS06210,MIDG2331_01268,infA,translation initiation factor IF-1,-,1372075,1372293
MIDG2331_RS06215,MIDG2331_01269,,YtjB family periplasmic protein,-,1372386,1373048
MIDG2331_RS06220,MIDG2331_01270,serB,phosphoserine phosphatase SerB,+,1373141,1374001
MIDG2331_RS06225,MIDG2331_01271,,YajQ family cyclic di-GMP-binding protein,+,1374060,1374551
MIDG2331_RS06230,MIDG2331_01272,,DUF5363 domain-containing protein,+,1374600,1374797
MIDG2331_RS06235,MIDG2331_01273,glgP,glycogen/starch/alpha-glucan family phosphorylase,+,1374905,1377304
MIDG2331_RS06240,MIDG2331_01274,malT,HTH-type transcriptional regulator MalT,-,1377382,1380099
MIDG2331_RS06245,MIDG2331_01275,malM,maltose operon protein MalM,-,1380214,1381098
MIDG2331_RS06250,MIDG2331_01276,,maltoporin,-,1381170,1382462
MIDG2331_RS06255,MIDG2331_01277,malK,maltose/maltodextrin ABC transporter ATP-binding protein MalK,-,1382532,1383671
MIDG2331_RS06260,MIDG2331_01278,malE,maltose/maltodextrin ABC transporter substrate-binding protein MalE,+,1384003,1385187
MIDG2331_RS06265,MIDG2331_01279,malF,maltose ABC transporter permease MalF,+,1385266,1386816
MIDG2331_RS06270,MIDG2331_01280,malG,maltose ABC transporter permease MalG,+,1386867,1387757
MIDG2331_RS06275,MIDG2331_01281,malQ,4-alpha-glucanotransferase,+,1387818,1389866
MIDG2331_RS06280,MIDG2331_01282,,carbon starvation CstA family protein,+,1390084,1391670
MIDG2331_RS06285,MIDG2331_01283,,TatD family hydrolase,+,1391744,1392538
MIDG2331_RS06290,MIDG2331_01284,gorA,glutathione-disulfide reductase,-,1392597,1393967
MIDG2331_RS06295,MIDG2331_01285,,TIGR00645 family protein,-,1394053,1394571
MIDG2331_RS06300,MIDG2331_01286,,nitroreductase family protein,-,1394673,1395311
MIDG2331_RS06305,MIDG2331_01287,,AzlD family protein,-,1395474,1395767
MIDG2331_RS06310,MIDG2331_01288,,AzlC family ABC transporter permease,-,1395767,1396471
MIDG2331_RS06315,MIDG2331_01289,,peptide ABC transporter ATP-binding protein,-,1396500,1397300
MIDG2331_RS06320,MIDG2331_01290,fbaA,class II fructose-bisphosphate aldolase,-,1397416,1398492
MIDG2331_RS06325,MIDG2331_01291,,phosphoglycerate kinase,-,1398594,1399769
MIDG2331_RS06330,MIDG2331_01292,,SLC13 family permease,-,1399927,1401315
MIDG2331_RS06335,MIDG2331_01293,sdcA,sodium/C4-dicarboxylate transporter SdcA,-,1401547,1402821
MIDG2331_RS06340,MIDG2331_01294,,DASS family sodium-coupled anion symporter,-,1403126,1404517
MIDG2331_RS06345,MIDG2331_01295,parE,DNA topoisomerase IV subunit B,-,1404712,1406625
MIDG2331_RS06350,,phoR,phosphate regulon sensor histidine kinase PhoR,-,1406703,1407996
MIDG2331_RS06355,MIDG2331_01298,phoB,phosphate regulon transcriptional regulator PhoB,-,1407996,1408637
MIDG2331_RS06360,MIDG2331_01299,pstB,phosphate ABC transporter ATP-binding protein PstB,-,1408817,1409596
MIDG2331_RS06365,MIDG2331_01300,pstA,phosphate ABC transporter permease PstA,-,1409605,1410348
MIDG2331_RS06370,MIDG2331_01302,pstC,phosphate ABC transporter permease subunit PstC,-,1410456,1411409
MIDG2331_RS06375,MIDG2331_01303,pstS,phosphate ABC transporter substrate-binding protein PstS,-,1411558,1412601
MIDG2331_RS06380,MIDG2331_01304,cueR,Cu(I)-responsive transcriptional regulator,-,1412723,1413109
MIDG2331_RS06385,MIDG2331_01305,,DUF411 domain-containing protein,+,1413195,1413647
MIDG2331_RS06390,MIDG2331_01306,,heavy-metal-associated domain-containing protein,+,1413665,1413865
MIDG2331_RS06395,MIDG2331_01307,,heavy metal translocating P-type ATPase,+,1414104,1416254
MIDG2331_RS06400,MIDG2331_01308,,SDR family NAD(P)-dependent oxidoreductase,-,1416362,1417183
MIDG2331_RS06405,MIDG2331_01309,,NAD(P)H nitroreductase,-,1417211,1417786
MIDG2331_RS06410,MIDG2331_01310,sppA,signal peptide peptidase SppA,+,1417889,1419745
MIDG2331_RS06415,MIDG2331_01311,,ribonuclease T2 family protein,+,1419880,1420647
MIDG2331_RS06420,MIDG2331_01312,,SprT family zinc-dependent metalloprotease,+,1420648,1421169
MIDG2331_RS06425,MIDG2331_01313,,NAD(P)/FAD-dependent oxidoreductase,+,1421274,1422560
MIDG2331_RS06430,MIDG2331_01314,,Tex family protein,-,1422752,1425079
MIDG2331_RS06435,MIDG2331_01315,pilW,type IV pilus biogenesis/stability protein PilW,-,1425154,1425702
MIDG2331_RS06440,MIDG2331_01316,rlmN,dual-specificity RNA methyltransferase RlmN,-,1425756,1426937
MIDG2331_RS06465,MIDG2331_01321,gltX,glutamate--tRNA ligase,+,1427842,1429281
MIDG2331_RS06475,MIDG2331_01323,,tyrosine-type recombinase/integrase,+,1429586,1430806
MIDG2331_RS06480,MIDG2331_01324,,hypothetical protein,+,1431563,1432384
MIDG2331_RS06485,MIDG2331_01325,,helix-turn-helix transcriptional regulator,+,1432616,1432855
MIDG2331_RS06490,MIDG2331_01326,,hypothetical protein,+,1432867,1433247
MIDG2331_RS06500,MIDG2331_01328,,antA/AntB antirepressor family protein,+,1433535,1434260
MIDG2331_RS06505,MIDG2331_01329,,terminase small subunit,+,1434265,1434651
MIDG2331_RS06510,MIDG2331_01330,,YlcI/YnfO family protein,-,1434942,1435130
MIDG2331_RS06515,MIDG2331_01331,,ash family protein,+,1435353,1436015
MIDG2331_RS06520,MIDG2331_01333,,hypothetical protein,+,1436008,1436349
MIDG2331_RS06525,MIDG2331_01334,,hypothetical protein,+,1436342,1436545
MIDG2331_RS06530,MIDG2331_01335,,hypothetical protein,+,1436538,1436762
MIDG2331_RS06535,MIDG2331_01336,,DUF927 domain-containing protein,+,1436740,1438911
MIDG2331_RS06540,MIDG2331_01337,yefM,YoeB-YefM toxin-antitoxin system antitoxin YefM,+,1440179,1440430
MIDG2331_RS06545,MIDG2331_01338,,Txe/YoeB family addiction module toxin,+,1440427,1440687
MIDG2331_RS06550,MIDG2331_01339,,Trm112 family protein,-,1440846,1441013
MIDG2331_RS06555,MIDG2331_01340,lpxK,tetraacyldisaccharide 4'-kinase,-,1441015,1441995
MIDG2331_RS06560,MIDG2331_01342,clpX,ATP-dependent protease ATP-binding subunit ClpX,-,1442089,1443347
MIDG2331_RS06565,MIDG2331_01343,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,-,1443347,1443937
MIDG2331_RS06570,MIDG2331_01344,,SufE family protein,+,1444059,1444451
MIDG2331_RS06585,MIDG2331_01347,dnaQ,DNA polymerase III subunit epsilon,-,1444822,1445583
MIDG2331_RS06590,MIDG2331_01348,ettA,energy-dependent translational throttle protein EttA,-,1445670,1447340
MIDG2331_RS06595,MIDG2331_01349,,carboxymuconolactone decarboxylase family protein,+,1447505,1447843
MIDG2331_RS06600,MIDG2331_01350,,rhodanese-like domain-containing protein,+,1447836,1448204
MIDG2331_RS06605,MIDG2331_01351,,hypothetical protein,+,1448313,1448633
MIDG2331_RS06610,MIDG2331_01352,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,-,1448691,1449965
MIDG2331_RS06615,MIDG2331_01353,,BolA family protein,-,1450097,1450357
MIDG2331_RS06620,MIDG2331_01354,,STAS domain-containing protein,-,1450370,1450723
MIDG2331_RS06625,MIDG2331_01355,mlaC,phospholipid-binding protein MlaC,-,1450733,1451371
MIDG2331_RS06630,MIDG2331_01356,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,-,1451449,1451976
MIDG2331_RS06635,MIDG2331_01357,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,-,1451995,1452825
MIDG2331_RS06640,MIDG2331_01358,mlaF,phospholipid ABC transporter ATP-binding protein MlaF,-,1452764,1453567
MIDG2331_RS06645,MIDG2331_01359,,DegQ family serine endoprotease,+,1453828,1455219
MIDG2331_RS06650,MIDG2331_01360,,TIGR01777 family oxidoreductase,-,1455259,1456146
MIDG2331_RS06655,MIDG2331_01361,argR,transcriptional regulator ArgR,-,1456146,1456607
MIDG2331_RS06660,MIDG2331_01362,mdh,malate dehydrogenase,+,1456801,1457754
MIDG2331_RS06665,MIDG2331_01363,,hypothetical protein,+,1457844,1458113
MIDG2331_RS06670,MIDG2331_01364,adk,adenylate kinase,-,1458181,1458825
MIDG2331_RS06675,MIDG2331_01365,,TonB-dependent receptor domain-containing protein,-,1458977,1461100
MIDG2331_RS06680,MIDG2331_01366,,AmpG family muropeptide MFS transporter,-,1461277,1462557
MIDG2331_RS06685,MIDG2331_01367,galE,UDP-glucose 4-epimerase GalE,-,1462696,1463712
MIDG2331_RS06690,MIDG2331_01368,ligA,NAD-dependent DNA ligase LigA,-,1463776,1465824
MIDG2331_RS06695,MIDG2331_01369,zipA,cell division protein ZipA,-,1465888,1466898
MIDG2331_RS06700,MIDG2331_01370,cysZ,sulfate transporter CysZ,+,1467018,1467899
MIDG2331_RS06705,MIDG2331_01371,,hypothetical protein,-,1467959,1468285
MIDG2331_RS06710,MIDG2331_01372,gnd,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase,-,1468377,1469831
MIDG2331_RS06715,MIDG2331_01373,,hypothetical protein,-,1470044,1470493
MIDG2331_RS06720,MIDG2331_01374,,aspartate/glutamate racemase family protein,-,1470679,1471368
MIDG2331_RS06725,MIDG2331_01375,,MFS transporter,-,1471471,1472790
MIDG2331_RS06730,MIDG2331_01376,pgl,6-phosphogluconolactonase,-,1472923,1473621
MIDG2331_RS06735,MIDG2331_01377,zwf,glucose-6-phosphate dehydrogenase,-,1473708,1475195
MIDG2331_RS06740,MIDG2331_01378,cysQ,"3'(2'),5'-bisphosphate nucleotidase CysQ",-,1475267,1476082
MIDG2331_RS06745,MIDG2331_01379,nudE,ADP compounds hydrolase NudE,-,1476095,1476652
MIDG2331_RS06750,MIDG2331_01380,hslR,ribosome-associated heat shock protein Hsp15,+,1476795,1477199
MIDG2331_RS06755,MIDG2331_01381,hslO,Hsp33 family molecular chaperone HslO,+,1477330,1478220
MIDG2331_RS06760,MIDG2331_01382,,anaerobic C4-dicarboxylate transporter,-,1478288,1479622
MIDG2331_RS06770,MIDG2331_01384,,ornithine carbamoyltransferase,+,1480475,1481479
MIDG2331_RS06775,MIDG2331_01385,arcC,carbamate kinase,+,1481501,1482448
MIDG2331_RS06780,MIDG2331_01386,,sucrose-specific PTS transporter subunit IIBC,-,1482696,1484117
MIDG2331_RS06785,MIDG2331_01387,thiQ,thiamine ABC transporter ATP-binding protein,-,1484308,1484952
MIDG2331_RS06790,MIDG2331_01388,thiP,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,-,1484949,1486574
MIDG2331_RS06795,MIDG2331_01389,ptsH,phosphocarrier protein Hpr,+,1486811,1487068
MIDG2331_RS06800,MIDG2331_01390,ptsI,phosphoenolpyruvate-protein phosphotransferase PtsI,+,1487192,1488913
MIDG2331_RS06805,MIDG2331_01391,crr,PTS glucose transporter subunit IIA,+,1488998,1489498
MIDG2331_RS06810,MIDG2331_01392,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,+,1489683,1491110
MIDG2331_RS06815,MIDG2331_01393,uvrD,DNA helicase II,+,1491312,1493510
MIDG2331_RS06820,MIDG2331_01394,hypB,hydrogenase nickel incorporation protein HypB,+,1493714,1494523
MIDG2331_RS06825,MIDG2331_01395,hypD,hydrogenase formation protein HypD,+,1494535,1495650
MIDG2331_RS06830,MIDG2331_01396,hypE,hydrogenase expression/formation protein HypE,+,1495652,1496665
MIDG2331_RS06835,MIDG2331_01397,,HlyD family type I secretion periplasmic adaptor subunit,-,1497005,1498438
MIDG2331_RS06840,MIDG2331_01398,,type I secretion system permease/ATPase,-,1498450,1500585
MIDG2331_RS06845,MIDG2331_01399,,RTX family hemolysin,-,1500642,1503800
MIDG2331_RS06850,MIDG2331_01400,apxIIIC,RTX-III toxin-activating lysine-acyltransferase ApxIIC,-,1503804,1504325
MIDG2331_RS06855,MIDG2331_01401,hypF,carbamoyltransferase HypF,-,1504767,1507070
MIDG2331_RS06860,MIDG2331_01402,hybO,hydrogenase 2 small subunit,+,1507305,1508447
MIDG2331_RS06865,MIDG2331_01403,hybA,hydrogenase 2 operon protein HybA,+,1508440,1509477
MIDG2331_RS06870,MIDG2331_01404,hybB,Ni/Fe-hydrogenase cytochrome b subunit,+,1509470,1510651
MIDG2331_RS06875,MIDG2331_01405,hybC,hydrogenase 2 large subunit,+,1510648,1512357
MIDG2331_RS06880,MIDG2331_01406,,HyaD/HybD family hydrogenase maturation endopeptidase,+,1512357,1512854
MIDG2331_RS06885,MIDG2331_01407,hybE,hydrogenase-2 assembly chaperone,+,1512847,1513350
MIDG2331_RS06890,MIDG2331_01408,hybG,hydrogenase maturation factor HybG,+,1513378,1513656
MIDG2331_RS06895,MIDG2331_01409,hypA,hydrogenase maturation nickel metallochaperone HypA,-,1513751,1514092
MIDG2331_RS06905,MIDG2331_01411,,tyrosine-type recombinase/integrase,-,1514592,1515434
MIDG2331_RS06910,MIDG2331_01412,mobH,MobH family relaxase,-,1515496,1517382
MIDG2331_RS06915,MIDG2331_01413,,phosphoribosyltransferase,+,1517620,1518324
MIDG2331_RS06920,MIDG2331_01414,,helix-turn-helix domain-containing protein,-,1518640,1519320
MIDG2331_RS06925,MIDG2331_01416,,hypothetical protein,-,1519627,1519914
MIDG2331_RS06930,MIDG2331_01417,,hypothetical protein,+,1520161,1520352
MIDG2331_RS06935,MIDG2331_01418,,recombinase family protein,+,1520367,1520957
MIDG2331_RS06940,MIDG2331_01419,,hypothetical protein,+,1521040,1521483
MIDG2331_RS06945,MIDG2331_01420,,N-6 DNA methylase,-,1521560,1522321
MIDG2331_RS06950,MIDG2331_01421,,ArdC family protein,-,1522425,1523378
MIDG2331_RS06955,MIDG2331_01423,,hypothetical protein,-,1523671,1523919
MIDG2331_RS06960,MIDG2331_01424,,hypothetical protein,-,1523922,1524155
MIDG2331_RS06965,MIDG2331_01425,,hypothetical protein,-,1524240,1524596
MIDG2331_RS06970,MIDG2331_01426,,TIGR03757 family integrating conjugative element protein,+,1524977,1525414
MIDG2331_RS06975,MIDG2331_01427,,TIGR03756 family integrating conjugative element protein,+,1525411,1526352
MIDG2331_RS06980,MIDG2331_01428,,integrating conjugative element protein,+,1526367,1528367
MIDG2331_RS06985,MIDG2331_01429,,hypothetical protein,+,1528383,1528790
MIDG2331_RS06990,MIDG2331_01430,,hypothetical protein,-,1528835,1529014
MIDG2331_RS06995,MIDG2331_01431,,hypothetical protein,+,1529211,1529567
MIDG2331_RS07000,MIDG2331_01432,,conjugal transfer protein TraG N-terminal domain-containing protein,-,1529594,1531090
MIDG2331_RS07005,MIDG2331_01433,,hypothetical protein,-,1531099,1531422
MIDG2331_RS07010,MIDG2331_01434,,hypothetical protein,-,1531432,1531875
MIDG2331_RS07015,MIDG2331_01435,,conjugative transfer ATPase,-,1531847,1534717
MIDG2331_RS07020,MIDG2331_01436,,TIGR03751 family conjugal transfer lipoprotein,-,1534733,1535140
MIDG2331_RS07025,MIDG2331_01437,,TIGR03752 family integrating conjugative element protein,-,1535150,1536550
MIDG2331_RS07030,MIDG2331_01438,,TIGR03749 family integrating conjugative element protein,-,1536561,1537430
MIDG2331_RS07035,MIDG2331_01439,,PFL_4703 family integrating conjugative element protein,-,1537430,1538074
MIDG2331_RS07040,MIDG2331_01440,,TIGR03750 family conjugal transfer protein,-,1538086,1538457
MIDG2331_RS07045,MIDG2331_01441,,DUF2976 domain-containing protein,-,1538477,1538878
MIDG2331_RS07050,MIDG2331_01442,,DUF3262 family protein,-,1538898,1539143
MIDG2331_RS07055,MIDG2331_01443,,"integrative conjugative element protein, RAQPRD family",-,1539147,1539467
MIDG2331_RS07060,MIDG2331_01444,,TIGR03747 family integrating conjugative element membrane protein,-,1539628,1540314
MIDG2331_RS07065,MIDG2331_01445,,hypothetical protein,-,1540314,1540649
MIDG2331_RS07070,MIDG2331_01446,traD,type IV conjugative transfer system coupling protein TraD,-,1540633,1542882
MIDG2331_RS07075,MIDG2331_01447,,integrating conjugative element protein,-,1542879,1543385
MIDG2331_RS07080,MIDG2331_01448,,transglycosylase SLT domain-containing protein,-,1543401,1544159
MIDG2331_RS07085,MIDG2331_01449,,TIGR03759 family integrating conjugative element protein,-,1544138,1544878
MIDG2331_RS07090,MIDG2331_01450,pilL2,PFGI-1 class ICE element type IV pilus protein PilL2,-,1544882,1545511
MIDG2331_RS07095,MIDG2331_01451,,TraX family protein,-,1545610,1546341
MIDG2331_RS07100,MIDG2331_01452,,hypothetical protein,-,1546432,1546635
MIDG2331_RS07105,MIDG2331_01454,,IS4-like element ISVsa5 family transposase,+,1546833,1548041
MIDG2331_RS07110,MIDG2331_01455,,helix-turn-helix domain-containing protein,-,1548051,1548467
MIDG2331_RS07115,MIDG2331_01456,tetC,tetracyline resistance-associated transcriptional repressor TetC,+,1548555,1549148
MIDG2331_RS07120,MIDG2331_01457,tet(B),tetracycline efflux MFS transporter Tet(B),-,1549261,1550466
MIDG2331_RS07125,,tetR(B),tetracycline resistance transcriptional repressor TetR(B),+,1550548,1551170
MIDG2331_RS07130,MIDG2331_01459,,ArsR/SmtB family transcription factor,-,1551148,1551771
MIDG2331_RS07135,MIDG2331_01460,,hypothetical protein,-,1551842,1552228
MIDG2331_RS07140,MIDG2331_01461,,antibiotic biosynthesis monooxygenase family protein,-,1552221,1552541
MIDG2331_RS07145,MIDG2331_01462,gltS,sodium/glutamate symporter,+,1552985,1554190
MIDG2331_RS07155,MIDG2331_01464,,IS4-like element ISVsa5 family transposase,-,1554556,1555764
MIDG2331_RS07160,MIDG2331_01466,,hypothetical protein,-,1555824,1556183
MIDG2331_RS07165,MIDG2331_01467,radC,RadC family protein,-,1556276,1556746
MIDG2331_RS07170,MIDG2331_01468,,DUF3560 domain-containing protein,-,1556885,1557526
MIDG2331_RS07175,MIDG2331_01469,,STY4534 family ICE replication protein,-,1557641,1558069
MIDG2331_RS07180,MIDG2331_01470,,DNA topoisomerase III,-,1558954,1560999
MIDG2331_RS07185,MIDG2331_01471,,plasmid fertility inhibition factor family protein,+,1561090,1561647
MIDG2331_RS07190,MIDG2331_01472,,membrane lipoprotein lipid attachment site-containing protein,-,1561863,1562381
MIDG2331_RS07195,MIDG2331_01473,,single-stranded DNA-binding protein,-,1562408,1562830
MIDG2331_RS07200,MIDG2331_01474,,DUF3158 family protein,-,1563077,1563550
MIDG2331_RS07205,MIDG2331_01475,,PFL_4669 family integrating conjugative element protein,-,1563565,1564320
MIDG2331_RS07215,MIDG2331_01476,,STY4528 family pathogenicity island replication protein,-,1564545,1565768
MIDG2331_RS07220,MIDG2331_01477,,DUF2857 domain-containing protein,-,1565918,1566469
MIDG2331_RS07225,MIDG2331_01478,,ParB family protein,-,1566469,1568157
MIDG2331_RS07230,MIDG2331_01479,dnaB,replicative DNA helicase,-,1568150,1569505
MIDG2331_RS07235,MIDG2331_01480,,ParA family protein,-,1569507,1570343
MIDG2331_RS07265,MIDG2331_01486,mfd,transcription-repair coupling factor,-,1571090,1574539
MIDG2331_RS07270,MIDG2331_01487,pepN,aminopeptidase N,+,1574641,1577250
MIDG2331_RS07275,MIDG2331_01488,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY,-,1577388,1577978
